"Id Video
"	"Descrição Vídeo
"	Palavras Chaves	"Vídeo Relacionado
"
(não encontrado e não inserido no <qodra:benchmarcks>)	Circuitos Digitais- Aula 21*	Contadores , Registradores, Contadores Sincronos, Maquinas de Estado, Flip-Flop, Contador Autocorretor, Tabela de Transcrição de Estados, 	"Circuitos Digitais- Aula 15
Circuitos Digitais- Aula 16
Circuitos Digitais- Aula 17
Circuitos Digitais- Aula 18*
Circuitos Digitias- Aula 19
Circuitos Digitais- Aula 20
Circuitos Digitais- Aula 22"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula22_1/Aula_22.xml	Circuitos Digitais- Aula 22	Contadores, Registradores, Transferências de dados, Construção de Registradores, Sinal de Clock, Registradores de Deslocamento, Flip-Flop, 	"Circuitos Digitais- Aula 15
Circuitos Digitais- Aula 16
Circuitos Digitais- Aula 17
Circuitos Digitais- Aula 18*
Circuitos Digitais- Aula 19
Circuitos Digitais- Aula 20
Circuitos Digitais- Aula 21*"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula23/Aula_23.xml	Circuitos Digitais- Aula 23	Circuitos Lógicos MSI, Circuito Somador Completo, Codificadores, Decodificadores,  	"Circuitos Digitais- Aula 24
Circuitos Digitais- Aula 25"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula24/Aula_24.xml	Circuitos Digitais- Aula 24	Circuitos Lógicos MSI, Multiplexadores, Drive BCD para 7 seguimentos, Decodificadores, Codidicadores, 	"Circuitos Digitais- Aula 23
Circuitos Digitais- Aula 25"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula25/Aula_25.xml	Circuitos Digitais- Aula 25	"Circuitos Lógicos MSI, Demultiplexadores, Comparadores de Magnitudes, Conversores de Códigos, Barramento 
de Dados, Codificadores, Decodificadores,Sinal de Clock"	"Circuitos Digitais- Aula 23
CIrcuitos Digitais- Aula 24"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula26/video26.xml	Circuitos Digitais- Aula 26	Dispositivos de Memória, Conceitos de Memória, Terminologias de Memória, Memória Auxiliar ,Memória Principal, Célula de energia, Memória RAM, Memória Estática, Memória Dinâmica, 	"Circuitos Digitais- Aula 27
Circuitos Digitais- Aula 28"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula27/video27.xml	Circuitos Digitais- Aula 27	Dispositvos de Memória, Operação de Memória, CPU e Memória, Barramento de Endereço. Barramento de Dados, Barramento de Controle, Memória ROM, MROM , PROM,  EPROM, 	"Circuitos Digitais- Aula 26
Circuitos Digitais- Aula 28"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula28/video28.xml	Circuitos Digitais- Aula 28	Dispositvos de Memória, Memórias Flash,  Memória Estática, Memória Dinâmica , Memória ROM, Funcionamento da Memória, 	"Circuitos Digitais- Aula 26
Circuitos Digitais- Aula 27"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula29/Aula_29.xml	Circuitos Digitais- Aula 29	Dispositvos Lógicos Programavéis, Linguagem de Descrição de Hardware, HDL, 	
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/treinamento/matadm2.xml	Construção da Ideia de Função	Função, Diagrama, Gráfico, Análise de gráficos, Análise de funções, Criação de funções, Idéia de Função, 	
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_quimica/eadqui025/aula0/eadqui025_aula0.xml	EADQUI025-Química Orgânica 2- Aula 0		
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_quimica/eadqui025/aula1/eadqui025_aula1.xml	EADQUI025-Química Orgânica 2- Aula 1	Compostos Insaturados Conjugados, Ligação Simples, Ligações Duplas, Ligações Químicas, Nomenclatura de Compostos,IUPAC,  Catalisador, Lei de Hess, Orbitais, Hibridização, Geometria Molecular, Comprimento de Ligação, Conjugação de Elétrons, 	"EADQUI025-Química Orgânica 2- Aula 1 part3
EADQUI025-Química Orgânica 2- Aula 2"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_quimica/eadqui025/aula1-parte3/eadqui025-aula1-parte3.xml	EADQUI025-Química Orgânica 2- Aula 1 part3	Compostos Insaturados Conjugados, Ligações Duplas, Átomos, Elétrons, Markovnikov, Carbocátion,  Formação de Produto, Produto de Adição, Produto Majoritário, Temperatura, Energia, Barreira de Energia, 	"EADQUI025-Química Orgânica 2- Aula 1
EADQUI025-Química Orgânica 2- Aula 2"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_quimica/eadqui025/aula2/eadqui025_aula2.xml	EADQUI025-Química Orgânica 2- Aula 2	Compostos Insaturados Conjugados, Carbono Alílicos, Ligações Duplas, Nucleófilo, Carbono Vilílico, Ligação Covalente, Orbitais Moleculáres, Ligação PI, Radical, Ressonância, Flechas de Química, Átomo, 	"EADQUI025-Química Orgânica 2- Aula 1
EADQUI025-Química Orgânica 2- Aula 1 part3"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_quimica/eadqui030/aula1/eadqui030_aula1.xml	EADQUI030- Fundamentos de Química Analítica- Aula 1	Propriedades de Soluções, Solução, Solvente, Substâncias Químicas, Solvente Universal, Condutividade Elétrica, Eletŕolitos, Não-Eletrólitos, 	
(não encontrado e não inserido no <qodra:benchmarcks>	EADQUI030- Fundamentos de Química Analítica- Aula 2	Equilibrio Ácido-Base, Força Iônica, Coeficiente de Atividade , Principio de Le Chatelier, Constante de Equilíbrio, Solvente, Catalisadores, Produto Iônico, Solução Ácida, Solução Básica, Ácido Fraco, Ácido Forte, Base Forte, Base Fraca,	"EADQUI030- Fundamentos de Química Analítica- Aula 4e5
EADQUI030- Fundamentos de Química Analítica- Aula 6,7 e 8"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_quimica/eadqui030/aula4e5/eadqui030_aula4e5.xml	EADQUI030- Fundamentos de Química Analítica- Aula 4e5	Ânion, Ácido, Mol, Constante Ácida, Constante Básica, Grau de Ionização, Constante de Dissocação, 	"EADQUI030- Fundamentos de Química Analítica- Aula 2*
EADQUI030- Fundamentos de Química Analítica- Aula 6,7 e 8"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_quimica/eadqui030/aula67e8/eadqui030-aula67e8.xml	EADQUI030- Fundamentos de Química Analítica- Aula 6,7 e 8	Equilibrio Ácido-Base, PH, Hidŕolise, Mol, Sais, Bases, Ácidos, Constante de dissociação, Costante Ácida, Solução Tampão, 	"EADQUI030- Fundamentos de Química Analítica- Aula 2*
EADQUI030- Fundamentos de Química Analítica- Aula 4e5"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_quimica/eadqui030/aula9/eadqui030_aula9.xml	EADQUI030- Fundamentos de Química Analítica- Aula 9	Preciptiado , Solubilidade, Lei da ação das massas, Concentração, Produto de Solubilidade, Produto Iônico, PH, 	
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_quimica/eadqui056/Aula1/video_barbara.xml	EADQUI056- Química Inorgânica- Aula 1	Nomenclatura dos Orgânometálico, Nomenclatura, Compostos de coordenação, 	"EADQUI025-Química Orgânica 2- Aula 1
EADQUI056- Química Inorgânica- Aula 2
EADQUI056- Química Inorgânica- Aula 3"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_quimica/eadqui056/Aula2/aula2.xml	EADQUI056- Química Inorgânica- Aula 2	Ligação Iônica, Ligação Covalante, Moleculáres, Regra do Octeto, Eletronegatividade, 	"EADQUI025-Química Orgânica 2- Aula 2
EADQUI056- Química Inorgânica- Aula 1
"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_quimica/eadqui056/Aula3/aula2.xml	EADQUI056- Química Inorgânica- Aula 3	Compostos Orgânometálicos, Contagem de elétrons ,Doação de elétrons , Camada de Valência, Regra dos 18 elétrons, 	"EADQUI056- Química Inorgânica- Aula 1
EADQUI056- Química Inorgânica- Aula 2"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_computacao/eaddcc009/aula1/aula1.xml	EADDCC009- Introdução a Rede de Computadores- Aula 1	Rede , Rede de computadores, Protocolos , Nó de rede, Frame,Pacote de dados, LAN, MAN, WAN, PAN, interconectividade, internet, IP, TCP, 	EADDCC009- Modelos OSI- Aula 2
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_computacao/eaddcc009/aula2/eaddcc009_aula2.xml	EADDCC009- Modelos OSI- Aula 2	Modelo OSI, Redes, Rede de computadores, Pacote de Dados, Camada de Rede , Tranferência de Dados, PIlha de Protocolos, 	"EADDCC009- Introdução a Rede de Computadores- Aula 1
EADDCC009- Infraestrura de Funcionamento de Rede- Aula 3"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_computacao/eaddcc009/aula3/eaddcc009_aula3.xml	EADDCC009- Infraestrura de Funcionamento de Rede- Aula 3	Infraestrutura, Redes, Transmissão de Informação ,Processamento de Informação, Banda, Perda de Energia, Comutação de Menssagens, Pacotes de Dados, Frame, UTP, Repetidor,HUB, SWITCH, Conversores, Roteadores, 	EADDCC009- Modelos OSI- Aula 2
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_computacao/eaddcc009/aula5/eaddcc009_aula5.xml	EADDCC009-   Aula 5	Sinal digital, HUB, SWITCH, Ruido ,Interferência, Protocolo de Acesso, Enlace, Protocolo MAC, Overhead, Datagrama, Broadcast, Multicast, Ethernet, Roteadores, 	EADDCC009- Infraestrura de Funcionamento de Rede- Aula 3

